HallB,RICH,TEMP
pv,description,latching,annunciating,display title,display details
B_DET_RICH_TEMP_SEC1_ROW5_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW5_PANEL7,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW5_PANEL8,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW6_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW6_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW6_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW6_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW6_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW6_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW6_PANEL7,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW6_PANEL8,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW7_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW7_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW7_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW7_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW7_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW7_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW7_PANEL7,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW8_PANEL8,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW8_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW8_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW8_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW8_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW8_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW8_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW8_PANEL7,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW9_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW9_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW9_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW9_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW9_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW9_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW9_PANEL7,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW10_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW10_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW10_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW10_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW10_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW10_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW11_PANEL7,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW11_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW11_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW11_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW11_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW11_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW11_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW12_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW12_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW12_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW12_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW12_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW12_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW13_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW13_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW13_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW13_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW13_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW13_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW14_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW14_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW14_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW14_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW14_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW15_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW15_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW15_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW15_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW15_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW16_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW16_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW16_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW16_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW16_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW17_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW17_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW17_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW17_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW18_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW18_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW18_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW18_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW19_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW19_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW19_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW19_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW20_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW20_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW20_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW21_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW21_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW21_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW22_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW22_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW22_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW23_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW23_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
