X,Y,Hodoscope Index,Calculated Component
-4,-9,0,51
-4,-8,0,73
-4,-7,0,95
-4,-6,0,117
-4,-5,0,139
-4,-4,0,161
-4,-3,0,183
-4,3,0,315
-4,4,0,337
-4,5,0,359
-4,6,0,381
-4,7,0,403
-4,8,0,425
-4,9,0,447
-4,10,0,469
-3,-11,0,8
-3,-10,0,30
-3,-9,0,52
-3,-8,0,74
-3,-7,0,96
-3,-6,0,118
-3,-5,0,140
-3,-4,0,162
-3,4,0,338
-3,5,0,360
-3,6,0,382
-3,7,0,404
-3,8,0,426
-3,9,0,448
-3,10,0,470
-3,11,0,492
-2,-11,0,9
-2,-10,0,31
-2,-9,0,53
-2,-8,0,75
-2,-7,0,97
-2,-6,0,119
-2,-5,0,141
-2,5,0,361
-2,6,0,383
-2,7,0,405
-2,8,0,427
-2,9,0,449
-2,10,0,471
-2,11,0,493
-1,-11,0,10
-1,-10,0,32
-1,-9,0,54
-1,-8,0,76
-1,-7,0,98
-1,-6,0,120
-1,-5,0,142
-1,5,0,362
-1,6,0,384
-1,7,0,406
-1,8,0,428
-1,9,0,450
-1,10,0,472
-1,11,0,494
1,-11,0,12
1,-10,0,34
1,-9,0,56
1,-8,0,78
1,-7,0,100
1,-6,0,122
1,-5,0,144
1,5,0,364
1,6,0,386
1,7,0,408
1,8,0,430
1,9,0,452
1,10,0,474
1,11,0,496
2,-11,0,13
2,-10,0,35
2,-9,0,57
2,-8,0,79
2,-7,0,101
2,-6,0,123
2,-5,0,145
2,5,0,365
2,6,0,387
2,7,0,409
2,8,0,431
2,9,0,453
2,10,0,475
2,11,0,497
3,-11,0,14
3,-10,0,36
3,-9,0,58
3,-8,0,80
3,-7,0,102
3,-6,0,124
3,-5,0,146
3,-4,0,168
3,4,0,344
3,5,0,366
3,6,0,388
3,7,0,410
3,8,0,432
3,9,0,454
3,10,0,476
3,11,0,498
4,-10,0,37
4,-9,0,59
4,-8,0,81
4,-7,0,103
4,-6,0,125
4,-5,0,147
4,-4,0,169
4,-3,0,191
4,3,0,323
4,4,0,345
4,5,0,367
4,6,0,389
4,7,0,411
4,8,0,433
4,9,0,455
4,10,0,477
5,-10,0,38
5,-9,0,60
5,-8,0,82
5,-7,0,104
5,-6,0,126
5,-5,0,148
5,-4,0,170
5,-3,0,192
5,-2,0,214
5,-1,0,236
5,1,0,280
5,2,0,302
5,3,0,324
5,4,0,346
5,5,0,368
5,6,0,390
5,7,0,412
5,8,0,434
5,9,0,456
5,10,0,478
6,-10,0,39
6,-9,0,61
6,-8,0,83
6,-7,0,105
6,-6,0,127
6,-5,0,149
6,-4,0,171
6,-3,0,193
6,-2,0,215
6,-1,0,237
6,1,0,281
6,2,0,303
6,3,0,325
6,4,0,347
6,5,0,369
6,6,0,391
6,7,0,413
6,8,0,435
6,9,0,457
6,10,0,479
7,-9,0,62
7,-8,0,84
7,-7,0,106
7,-6,0,128
7,-5,0,150
7,-4,0,172
7,-3,0,194
7,-2,0,216
7,-1,0,238
7,1,0,282
7,2,0,304
7,3,0,326
7,4,0,348
7,5,0,370
7,6,0,392
7,7,0,414
7,8,0,436
7,9,0,458
8,-8,0,85
8,-7,0,107
8,-6,0,129
8,-5,0,151
8,-4,0,173
8,-3,0,195
8,-2,0,217
8,-1,0,239
8,1,0,283
8,2,0,305
8,3,0,327
8,4,0,349
8,5,0,371
8,6,0,393
8,7,0,415
8,8,0,437
9,-7,0,108
9,-6,0,130
9,-5,0,152
9,-4,0,174
9,-3,0,196
9,-2,0,218
9,-1,0,240
9,1,0,284
9,2,0,306
9,3,0,328
9,4,0,350
9,5,0,372
9,6,0,394
9,7,0,416
10,-6,0,131
10,-5,0,153
10,-4,0,175
10,-3,0,197
10,-2,0,219
10,-1,0,241
10,1,0,285
10,2,0,307
10,3,0,329
10,4,0,351
10,5,0,373
10,6,0,395
11,-3,0,198
11,-2,0,220
11,-1,0,242
11,1,0,286
11,2,0,308
11,3,0,330
