,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,,,X,Y,Hodoscope Index,Calculated Component,Size
,,,,,,,,,,,,,,,,,,,,,,,,,1,-7,0,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,-6,0,122,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,-5,S6E15,144,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,364,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,386,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,408,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,430,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,452,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,474,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,11,1,496,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,-11,S6E1,13,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,-10,0,35,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,-9,S6E5,57,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,-8,0,79,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,-7,S6E9,101,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,-6,0,123,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,-5,S6E14,145,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,5,S2E12,365,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,387,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,7,S2E8,409,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,431,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,9,S2E4,453,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,475,2
,,,,,,,,,,,,,,,,,,,,,,,,,2,11,2,497,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,-11,0,14,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,-10,0,36,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,-9,0,58,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,-8,0,80,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,-7,0,102,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,-6,0,124,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,-5,S6E13,146,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,-4,S5E9,168,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,4,S2E20,344,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,366,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,388,2
