,Variable Name,,,,,,,Hexa Address in PLC,Adress + 500 Hexa,Adress + 500    Decimal,,
,FC_HECS_F,TOR,16,3,8,F,-,B 150,18A8,6312,,
,FC_HECS_O,TOR,16,3,9,O,-,B 151,18A9,6313,,
,FC_HECT_F,TOR,16,3,10,F,-,B 152,18AA,6314,,
,FC_HECT_O,TOR,16,3,11,O,-,B 153,18AB,6315,,
,FC_HESC_F,TOR,16,3,12,F,-,B 154,18AC,6316,,
,FC_HESC_O,TOR,16,3,13,O,-,B 155,18AD,6317,,
,FC_HETC_F,TOR,16,3,14,F,-,B 156,18AE,6318,,
,FC_HETC_O,TOR,16,3,15,O,-,B 157,18AF,6319,,
,DEF_LS_F,TOR,16,4,0,DEFAUT,0,B 160,18B0,6320,,
,C12_V17,TOR,16,4,1,O,0,B 161,18B1,6321,,
,C12_V18,TOR,16,4,2,O,0,B 162,18B2,6322,,
,EAU_P2KH,TOR,16,4,3,O,0,B 163,18B3,6323,,
,FC_2KHA_F,TOR,16,4,4,F,0,B 164,18B4,6324,,
,FC_2KHA_O,TOR,16,4,5,O,-,B 165,18B5,6325,,
,FC_2KHR_F,TOR,16,4,6,F,0,B 166,18B6,6326,,
,FC_2KHR_O,TOR,16,4,7,O,-,B 167,18B7,6327,,
,FC_4KH_F,TOR,16,4,8,F,-,B 170,18B8,6328,,
,FC_4KH_O,TOR,16,4,9,O,0,B 171,18B9,6329,,
,FC_5KH_F,TOR,16,4,10,F,0,B 172,18BA,6330,,
,FC_5KH_O,TOR,16,4,11,O,0,B 173,18BB,6331,,
,FC_LTH_F,TOR,16,4,12,F,0,B 174,18BC,6332,,
,FC_LTH_O,TOR,16,4,13,O,0,B 175,18BD,6333,,
,FC_RECUP_F,TOR,16,4,14,F,0,B 176,18BE,6334,,
,FC_RECUP_O,TOR,16,4,15,O,0,B 177,18BF,6335,,
,,,,,,,,,,,,
,Logic Input Card 03,,,,,,,,,,,
,FC_D2P_F,TOR,16,5,0,F,-,B 180,18C0,6336,,
,FC_D2P_O,TOR,16,5,1,O,-,B 181,18C1,6337,,
,FC_D2T_F,TOR,16,5,2,F,-,B 182,18C2,6338,,
,FC_D2T_O,TOR,16,5,3,O,-,B 183,18C3,6339,,
