PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units,
159,42,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow#2_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_N2FLOW2_LATCHED_LO_ERR,N/A,
160,43,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#1_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID1_LATCHED_LO_ERR,N/A,
161,44,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#2_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID2_LATCHED_LO_ERR,N/A,
162,45,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#3_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID3_LATCHED_LO_ERR,N/A,
163,46,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#4_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID4_LATCHED_LO_ERR,N/A,
164,47,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#5_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID5_LATCHED_LO_ERR,N/A,
165,48,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#6_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID6_LATCHED_LO_ERR,N/A,
166,49,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#7_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID7_LATCHED_LO_ERR,N/A,
167,50,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#8_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID8_LATCHED_LO_ERR,N/A,
168,51,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#9_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID9_LATCHED_LO_ERR,N/A,
169,52,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#10_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID10_LATCHED_LO_ERR,N/A,
170,53,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#11_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID11_LATCHED_LO_ERR,N/A,
171,54,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#12_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID12_LATCHED_LO_ERR,N/A,
172,55,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#13_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID13_LATCHED_LO_ERR,N/A,
173,56,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#14_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID14_LATCHED_LO_ERR,N/A,
174,57,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#15_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID15_LATCHED_LO_ERR,N/A,
175,58,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#16_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_HUMID16_LATCHED_LO_ERR,N/A,
176,59,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#1_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP1_LATCHED_LO_ERR,N/A,
177,60,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#2_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP2_LATCHED_LO_ERR,N/A,
178,61,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#3_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP3_LATCHED_LO_ERR,N/A,
179,62,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#4_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP4_LATCHED_LO_ERR,N/A,
180,63,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#5_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP5_LATCHED_LO_ERR,N/A,
181,64,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#6_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP6_LATCHED_LO_ERR,N/A,
182,65,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#7_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP7_LATCHED_LO_ERR,N/A,
183,66,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#8_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP8_LATCHED_LO_ERR,N/A,
184,67,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#9_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP9_LATCHED_LO_ERR,N/A,
185,68,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#10_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP10_LATCHED_LO_ERR,N/A,
186,69,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#11_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP11_LATCHED_LO_ERR,N/A,
187,70,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#12_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP12_LATCHED_LO_ERR,N/A,
188,71,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#13_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP13_LATCHED_LO_ERR,N/A,
189,72,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#14_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP14_LATCHED_LO_ERR,N/A,
190,73,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#15_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP15_LATCHED_LO_ERR,N/A,
191,74,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#16_Lo_Latched_Error,Read Only,Boolean,B_DET_RICH_INTLK_TEMP16_LATCHED_LO_ERR,N/A,
192,1,Reset of All Latched Errors,RICHCRIO:RICH_EPICS:RICH_EPICS_Reset_Latched_Errors,Read Only,Boolean,B_DET_RICH_INTLK_RESET_LATCHED_ERR,N/A,
193,1,Sum of Air Pressure Latched Errors,RICHCRIO:RICH_EPICS:RICH_EPICS_Air_Pressure_Latched_Errors,Read Only,Boolean,B_DET_RICH_INTLK_AIRPR_LATCHED_ERR,N/A,
194,1,Sum of Airflow Latched Errors,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_Latched_Errors,Read Only,Boolean,B_DET_RICH_INTLK_AIRFLOW_LATCHED_ERR,N/A,
195,1,Sum of N2 Flow Latched Errors,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_Latched_Errors,Read Only,Boolean,B_DET_RICH_INTLK_N2FLOW_LATCHED_ERR,N/A,
196,1,Sum of Humidity Latched Errors,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_Latched_Errors,Read Only,Boolean,B_DET_RICH_INTLK_HUMID_LATCHED_ERR,N/A,
197,1,Sum of Temperature Latched Errors,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_Latched_Errors,Read Only,Boolean,B_DET_RICH_INTLK_TEMP_LATCHED_ERR,N/A,
198,1,Individual Sensor Interlock Enables,RICHCRIO:RICH_EPICS:RICH_EPICS_Air_Pressure_#1_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_AIRPR1_ENABLE,N/A,
199,2,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#1_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_AIRFLOW1_ENABLE,N/A,
200,3,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#2_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_AIRFLOW2_ENABLE,N/A,
201,4,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#1_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_N2FLOW1_ENABLE,N/A,
202,5,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow#2_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_N2FLOW2_ENABLE,N/A,
203,6,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#1_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID1_ENABLE,N/A,
204,7,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#2_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID2_ENABLE,N/A,
205,8,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#3_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID3_ENABLE,N/A,
206,9,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#4_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID4_ENABLE,N/A,
207,10,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#5_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID5_ENABLE,N/A,
208,11,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#6_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID6_ENABLE,N/A,
209,12,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#7_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID7_ENABLE,N/A,
210,13,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#8_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID8_ENABLE,N/A,
211,14,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#9_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID9_ENABLE,N/A,
212,15,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#10_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID10_ENABLE,N/A,
213,16,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#11_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID11_ENABLE,N/A,
214,17,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#12_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID12_ENABLE,N/A,
215,18,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#13_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID13_ENABLE,N/A,
216,19,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#14_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID14_ENABLE,N/A,
217,20,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#15_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID15_ENABLE,N/A,
218,21,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#16_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_HUMID16_ENABLE,N/A,
219,22,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#1_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP1_ENABLE,N/A,
220,23,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#2_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP2_ENABLE,N/A,
221,24,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#3_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP3_ENABLE,N/A,
222,25,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#4_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP4_ENABLE,N/A,
223,26,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#5_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP5_ENABLE,N/A,
224,27,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#6_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP6_ENABLE,N/A,
225,28,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#7_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP7_ENABLE,N/A,
226,29,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#8_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP8_ENABLE,N/A,
227,30,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#9_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP9_ENABLE,N/A,
228,31,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#10_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP10_ENABLE,N/A,
229,32,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#11_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP11_ENABLE,N/A,
230,33,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#12_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP12_ENABLE,N/A,
231,34,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#13_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP13_ENABLE,N/A,
232,35,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#14_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP14_ENABLE,N/A,
233,36,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#15_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP15_ENABLE,N/A,
234,37,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#16_Sensor_Enable,Read/Write,Boolean,B_DET_RICH_INTLK_TEMP16_ENABLE,N/A,
235,1,Individual Sensor Threshold Control,RICHCRIO:RICH_EPICS:RICH_EPICS_Air_Pressure_#1_Hi_Limit,Read/Write,Double,B_DET_RICH_AIRPR1_HI,atm,
236,2,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#1_Hi_Limit,Read/Write,Double,B_DET_RICH_AIRFLOW1_HI,slm,
237,3,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#2_Hi_Limit,Read/Write,Double,B_DET_RICH_AIRFLOW2_HI,slm,
238,4,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#1_Hi_Limit,Read/Write,Double,B_DET_RICH_N2FLOW1_HI,slm,
239,5,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow#2_Hi_Limit,Read/Write,Double,B_DET_RICH_N2FLOW2_HI,slm,
240,6,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#1_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID1_HI,%,
241,7,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#2_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID2_HI,%,
242,8,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#3_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID3_HI,%,
243,9,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#4_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID4_HI,%,
244,10,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#5_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID5_HI,%,
245,11,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#6_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID6_HI,%,
246,12,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#7_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID7_HI,%,
247,13,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#8_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID8_HI,%,
248,14,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#9_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID9_HI,%,
249,15,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#10_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID10_HI,%,
250,16,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#11_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID11_HI,%,
251,17,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#12_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID12_HI,%,
252,18,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#13_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID13_HI,%,
253,19,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#14_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID14_HI,%,
254,20,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#15_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID15_HI,%,
255,21,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#16_Hi_Limit,Read/Write,Double,B_DET_RICH_HUMID16_HI,%,
256,22,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#1_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP1_HI,C,
257,23,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#2_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP2_HI,C,
258,24,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#3_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP3_HI,C,
259,25,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#4_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP4_HI,C,
260,26,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#5_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP5_HI,C,
261,27,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#6_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP6_HI,C,
262,28,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#7_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP7_HI,C,
263,29,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#8_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP8_HI,C,
264,30,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#9_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP9_HI,C,
265,31,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#10_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP10_HI,C,
266,32,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#11_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP11_HI,C,
267,33,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#12_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP12_HI,C,
268,34,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#13_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP13_HI,C,
269,35,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#14_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP14_HI,C,
270,36,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#15_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP15_HI,C,
271,37,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#16_Hi_Limit,Read/Write,Double,B_DET_RICH_TEMP16_HI,C,
272,38,,RICHCRIO:RICH_EPICS:RICH_EPICS_Air_Pressure_#1_Lo_Limit,Read/Write,Double,B_DET_RICH_AIRPR1_LO,atm,
273,39,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#1_Lo_Limit,Read/Write,Double,B_DET_RICH_AIRFLOW1_LO,slm,
274,40,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#2_Lo_Limit,Read/Write,Double,B_DET_RICH_AIRFLOW2_LO,slm,
275,41,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#1_Lo_Limit,Read/Write,Double,B_DET_RICH_N2FLOW1_LO,slm,
276,42,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow#2_Lo_Limit,Read/Write,Double,B_DET_RICH_N2FLOW2_LO,slm,
277,43,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#1_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID1_LO,%,
278,44,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#2_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID2_LO,%,
279,45,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#3_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID3_LO,%,
280,46,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#4_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID4_LO,%,
281,47,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#5_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID5_LO,%,
282,48,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#6_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID6_LO,%,
283,49,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#7_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID7_LO,%,
284,50,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#8_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID8_LO,%,
285,51,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#9_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID9_LO,%,
286,52,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#10_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID10_LO,%,
287,53,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#11_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID11_LO,%,
288,54,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#12_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID12_LO,%,
289,55,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#13_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID13_LO,%,
290,56,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#14_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID14_LO,%,
291,57,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#15_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID15_LO,%,
292,58,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#16_Lo_Limit,Read/Write,Double,B_DET_RICH_HUMID16_LO,%,
293,59,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#1_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP1_LO,C,
294,60,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#2_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP2_LO,C,
295,61,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#3_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP3_LO,C,
296,62,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#4_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP4_LO,C,
297,63,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#5_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP5_LO,C,
298,64,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#6_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP6_LO,C,
299,65,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#7_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP7_LO,C,
300,66,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#8_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP8_LO,C,
301,67,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#9_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP9_LO,C,
302,68,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#10_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP10_LO,C,
303,69,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#11_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP11_LO,C,
304,70,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#12_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP12_LO,C,
305,71,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#13_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP13_LO,C,
306,72,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#14_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP14_LO,C,
307,73,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#15_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP15_LO,C,
308,74,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#16_Lo_Limit,Read/Write,Double,B_DET_RICH_TEMP16_LO,C,
309,1,Limit Control Status,RICHCRIO:RICH_EPICS:RICH_EPICS_Limit_Control,Read/Write,Boolean,B_DET_RICH_INTLK_EPICS_LIMIT_CTRL,N/A,
310,1,Hardware Interlock Status,RICHCRIO:RICH_EPICS:RICH_EPICS_LV_Enable_Status,Read Only,Boolean,B_DET_RICH_INTLK_LV_ENABLE_STAT,N/A,
311,2,,RICHCRIO:RICH_EPICS:RICH_EPICS_HV_Enable_Status,Read Only,Boolean,B_DET_RICH_INTLK_HV_ENABLE_STAT,N/A,
312,3,,RICHCRIO:RICH_EPICS:RICH_EPICS_Compressor_Status,Read Only,Boolean,B_DET_RICH_INTLK_COMPR_STAT,N/A,
313,1,Interlock System Status,RICHCRIO:RICH_EPICS:RICH_EPICS_cRIO_CPU,Read Only,Double,B_HW_CRIO_RICH_CPULOAD,%,
314,2,,RICHCRIO:RICH_EPICS:RICH_EPICS_cRIO_Heartbeat,Read Only,Boolean,B_HW_CRIO_RICH_HEARTBEAT,N/A,
315,3,,RICHCRIO:RICH_EPICS:RICH_EPICS_System_Uptime,Read Only,Double,B_HW_CRIO_RICH_UPTIME,hours,
