Hall B RICH Hardware Interlock System EPICS Interface - S1 EP,,,,,,,
PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units
79,47,,RICH EPICS S1 EP Humidity 15 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID15_LO_STAT,N/A
80,48,,RICH EPICS S1 EP Humidity 16 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID16_LO_STAT,N/A
81,49,,RICH EPICS S1 EP Temp 1 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP1_LO_STAT,N/A
82,50,,RICH EPICS S1 EP Temp 2 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP2_LO_STAT,N/A
83,51,,RICH EPICS S1 EP Temp 3 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP3_LO_STAT,N/A
84,52,,RICH EPICS S1 EP Temp 4 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP4_LO_STAT,N/A
85,53,,RICH EPICS S1 EP Temp 5 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP5_LO_STAT,N/A
86,54,,RICH EPICS S1 EP Temp 6 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP6_LO_STAT,N/A
87,55,,RICH EPICS S1 EP Temp 7 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP7_LO_STAT,N/A
88,56,,RICH EPICS S1 EP Temp 8 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP8_LO_STAT,N/A
89,57,,RICH EPICS S1 EP Temp 9 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP9_LO_STAT,N/A
90,58,,RICH EPICS S1 EP Temp 10 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP10_LO_STAT,N/A
91,59,,RICH EPICS S1 EP Temp 11 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP11_LO_STAT,N/A
92,60,,RICH EPICS S1 EP Temp 12 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP12_LO_STAT,N/A
93,61,,RICH EPICS S1 EP Temp 13 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP13_LO_STAT,N/A
94,62,,RICH EPICS S1 EP Temp 14 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP14_LO_STAT,N/A
95,63,,RICH EPICS S1 EP Temp 15 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP15_LO_STAT,N/A
96,64,,RICH EPICS S1 EP Temp 16 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP16_LO_STAT,N/A
97,1,Sum of Any Interlock Status,RICHCRIO:RICH_EPICS:RICH_EPICS_Any_Interlock_Over_Limit?,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_ANY_OVERLIMIT,N/A
98,1,Sum of Humidity Status,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID_STATUS,N/A
99,1,Sum of Temperature Status,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP_STATUS,N/A
100,1,Individual Sensor Latched Errors,RICH EPICS S1 EP Humidity 1 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID1_LATCHED_HI_ERR,N/A
101,2,,RICH EPICS S1 EP Humidity 2 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID2_LATCHED_HI_ERR,N/A
102,3,,RICH EPICS S1 EP Humidity 3 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID3_LATCHED_HI_ERR,N/A
103,4,,RICH EPICS S1 EP Humidity 4 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID4_LATCHED_HI_ERR,N/A
104,5,,RICH EPICS S1 EP Humidity 5 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID5_LATCHED_HI_ERR,N/A
105,6,,RICH EPICS S1 EP Humidity 6 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID6_LATCHED_HI_ERR,N/A
106,7,,RICH EPICS S1 EP Humidity 7 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID7_LATCHED_HI_ERR,N/A
107,8,,RICH EPICS S1 EP Humidity 8 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID8_LATCHED_HI_ERR,N/A
108,9,,RICH EPICS S1 EP Humidity 9 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID9_LATCHED_HI_ERR,N/A
109,10,,RICH EPICS S1 EP Humidity 10 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID10_LATCHED_HI_ERR,N/A
110,11,,RICH EPICS S1 EP Humidity 11 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID11_LATCHED_HI_ERR,N/A
111,12,,RICH EPICS S1 EP Humidity 12 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID12_LATCHED_HI_ERR,N/A
112,13,,RICH EPICS S1 EP Humidity 13 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID13_LATCHED_HI_ERR,N/A
