#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"Discriminator full setup, Disc in Slots 2-5, 7-10, 12-15, 17-20, Note: TDCs in slot 6 and 16",,,,,,,
#,L1 Group,,,,,,,
S,67,TDCBAND1,VME,18,10,DISC,BAND,113B_L
S,67,TDCBAND1,VME,18,11,DISC,BAND,213B_L
S,67,TDCBAND1,VME,18,12,DISC,BAND,313B_L
S,67,TDCBAND1,VME,18,13,DISC,BAND,413B_L
S,67,TDCBAND1,VME,18,14,DISC,BAND,513B_L
S,67,TDCBAND1,VME,18,15,DISC,BAND,V16B
#,R7 Group,,,,,,,
S,67,TDCBAND1,VME,19,0,DISC,BAND,114B_L
S,67,TDCBAND1,VME,19,1,DISC,BAND,214B_L
S,67,TDCBAND1,VME,19,2,DISC,BAND,314B_L
S,67,TDCBAND1,VME,19,3,DISC,BAND,414B_L
S,67,TDCBAND1,VME,19,4,DISC,BAND,514B_L
S,67,TDCBAND1,VME,19,5,DISC,BAND,115B_L
S,67,TDCBAND1,VME,19,6,DISC,BAND,215B_L
S,67,TDCBAND1,VME,19,7,DISC,BAND,315B_L
S,67,TDCBAND1,VME,19,8,DISC,BAND,415B_L
S,67,TDCBAND1,VME,19,9,DISC,BAND,515B_L
S,67,TDCBAND1,VME,19,10,DISC,BAND,116B_L
S,67,TDCBAND1,VME,19,11,DISC,BAND,216B_L
S,67,TDCBAND1,VME,19,12,DISC,BAND,316B_L
S,67,TDCBAND1,VME,19,13,DISC,BAND,416B_L
S,67,TDCBAND1,VME,19,14,DISC,BAND,V17
S,67,TDCBAND1,VME,19,15,DISC,BAND,V18
#,R8 Group,,,,,,,
S,67,TDCBAND1,VME,20,0,DISC,BAND,116B_R
S,67,TDCBAND1,VME,20,1,DISC,BAND,216B_R
S,67,TDCBAND1,VME,20,2,DISC,BAND,316B_R
S,67,TDCBAND1,VME,20,3,DISC,BAND,416B_R
S,67,TDCBAND1,VME,20,4,DISC,BAND,117_R
S,67,TDCBAND1,VME,20,5,DISC,BAND,217_R
S,67,TDCBAND1,VME,20,6,DISC,BAND,317_R
S,67,TDCBAND1,VME,20,7,DISC,BAND,417_R
S,67,TDCBAND1,VME,20,8,DISC,BAND,118_R
S,67,TDCBAND1,VME,20,9,DISC,BAND,218_R
S,67,TDCBAND1,VME,20,10,DISC,BAND,318_R
S,67,TDCBAND1,VME,20,11,DISC,BAND,418_R
S,67,TDCBAND1,VME,20,12,DISC,BAND,V13A
S,67,TDCBAND1,VME,20,13,DISC,BAND,V14A
S,67,TDCBAND1,VME,20,14,DISC,BAND,V15A
S,67,TDCBAND1,VME,20,15,DISC,BAND,V16A
