#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"FADC Map for all channels , FADC starts in slot 3",,,,,,,
#,L1 Group,,,,,,,
S,66,ADCBAND1,VXS,8,2,ADC,BAND,311A_R
S,66,ADCBAND1,VXS,8,3,ADC,BAND,411A_R
S,66,ADCBAND1,VXS,8,4,ADC,BAND,511A_R
S,66,ADCBAND1,VXS,8,5,ADC,BAND,112A_R
S,66,ADCBAND1,VXS,8,6,ADC,BAND,212A_R
S,66,ADCBAND1,VXS,8,7,ADC,BAND,312A_R
S,66,ADCBAND1,VXS,8,8,ADC,BAND,412A_R
S,66,ADCBAND1,VXS,8,9,ADC,BAND,512A_R
S,66,ADCBAND1,VXS,8,10,ADC,BAND,113A_R
S,66,ADCBAND1,VXS,8,11,ADC,BAND,213A_R
S,66,ADCBAND1,VXS,8,12,ADC,BAND,313A_R
S,66,ADCBAND1,VXS,8,13,ADC,BAND,413A_R
S,66,ADCBAND1,VXS,8,14,ADC,BAND,513A_R
S,66,ADCBAND1,VXS,8,15,ADC,BAND,V06
#,L7 Group,,,,,,,
S,66,ADCBAND1,VXS,9,0,ADC,BAND,114A_R
S,66,ADCBAND1,VXS,9,1,ADC,BAND,214A_R
S,66,ADCBAND1,VXS,9,2,ADC,BAND,314A_R
S,66,ADCBAND1,VXS,9,3,ADC,BAND,414A_R
S,66,ADCBAND1,VXS,9,4,ADC,BAND,514A_R
S,66,ADCBAND1,VXS,9,5,ADC,BAND,115A_R
S,66,ADCBAND1,VXS,9,6,ADC,BAND,215A_R
S,66,ADCBAND1,VXS,9,7,ADC,BAND,315A_R
S,66,ADCBAND1,VXS,9,8,ADC,BAND,415A_R
S,66,ADCBAND1,VXS,9,9,ADC,BAND,515A_R
S,66,ADCBAND1,VXS,9,10,ADC,BAND,116A_R
S,66,ADCBAND1,VXS,9,11,ADC,BAND,216A_R
S,66,ADCBAND1,VXS,9,12,ADC,BAND,316A_R
S,66,ADCBAND1,VXS,9,13,ADC,BAND,416A_R
S,66,ADCBAND1,VXS,9,14,ADC,BAND,V07
S,66,ADCBAND1,VXS,9,15,ADC,BAND,V08
#,L8 Group,,,,,,,
S,66,ADCBAND1,VXS,10,0,ADC,BAND,116A_L
S,66,ADCBAND1,VXS,10,1,ADC,BAND,216A_L
S,66,ADCBAND1,VXS,10,2,ADC,BAND,316A_L
S,66,ADCBAND1,VXS,10,3,ADC,BAND,416A_L
S,66,ADCBAND1,VXS,10,4,ADC,BAND,117_L
S,66,ADCBAND1,VXS,10,5,ADC,BAND,217_L
S,66,ADCBAND1,VXS,10,6,ADC,BAND,317_L
S,66,ADCBAND1,VXS,10,7,ADC,BAND,417_L
S,66,ADCBAND1,VXS,10,8,ADC,BAND,118_L
S,66,ADCBAND1,VXS,10,9,ADC,BAND,218_L
S,66,ADCBAND1,VXS,10,10,ADC,BAND,318_L
S,66,ADCBAND1,VXS,10,11,ADC,BAND,418_L
S,66,ADCBAND1,VXS,10,12,ADC,BAND,V09
S,66,ADCBAND1,VXS,10,13,ADC,BAND,V10
S,66,ADCBAND1,VXS,10,14,ADC,BAND,V11A
S,66,ADCBAND1,VXS,10,15,ADC,BAND,V12A
#,R1 Group,,,,,,,
S,66,ADCBAND1,VXS,13,0,ADC,BAND,101_R
S,66,ADCBAND1,VXS,13,1,ADC,BAND,201_R
