#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"Discriminator FALL SETUP, Disc in Slots 12-15, 17-20",,,,,,,
#,L4 Group,,,,,,,
S,66,ADCBAND1,FADC250,20,4,DISC,BAND,514B_L
S,66,ADCBAND1,FADC250,20,5,DISC,BAND,115B_L
S,66,ADCBAND1,FADC250,20,6,DISC,BAND,215B_L
S,66,ADCBAND1,FADC250,20,7,DISC,BAND,315B_L
S,66,ADCBAND1,FADC250,20,8,DISC,BAND,415B_L
S,66,ADCBAND1,FADC250,20,9,DISC,BAND,515B_L
S,66,ADCBAND1,FADC250,20,10,DISC,BAND,116B_L
S,66,ADCBAND1,FADC250,20,11,DISC,BAND,216B_L
S,66,ADCBAND1,FADC250,20,12,DISC,BAND,316B_L
S,66,ADCBAND1,FADC250,20,13,DISC,BAND,416B_L
S,66,ADCBAND1,FADC250,20,14,DISC,BAND,511B_R
S,66,ADCBAND1,FADC250,20,15,DISC,BAND,512B_R
